UID,2020/9/15,2020/9/16,Equal
002165.SZ,6.17,6.17,TRUE
002166.SZ,8.6,8.6,TRUE
002167.SZ,6.01,6.01,TRUE
002168.SZ,8.08,8.08,TRUE
002169.SZ,8.66,8.66,TRUE
002170.SZ,4.21,4.21,TRUE
002171.SZ,9.55,9.55,TRUE
002172.SZ,2.81,2.81,TRUE
002173.SZ,6.7,6.7,TRUE
002174.SZ,18.93,18.93,TRUE
002175.SZ,1.44,1.44,TRUE
002176.SZ,2.08,2.08,TRUE
002177.SZ,5.62,5.62,TRUE
002178.SZ,4.6,4.6,TRUE
002179.SZ,46.64,46.64,TRUE
002180.SZ,30.92,30.92,TRUE
002181.SZ,4.73,4.73,TRUE
002182.SZ,10.44,10.44,TRUE
002183.SZ,5.31,5.31,TRUE
002184.SZ,14.71,14.71,TRUE
002185.SZ,14.2,14.2,TRUE
002186.SZ,11.38,11.38,TRUE
002187.SZ,10.96,10.96,TRUE
002188.SZ,3.41,3.41,TRUE
002189.SZ,19.34,19.34,TRUE
002190.SZ,27.56,27.56,TRUE
002191.SZ,10.02,10.02,TRUE
002192.SZ,16.73,16.73,TRUE
002193.SZ,7.39,7.39,TRUE
002194.SZ,15.07,15.07,TRUE
002195.SZ,3,3,TRUE
002196.SZ,5.37,5.37,TRUE
002197.SZ,9.95,9.95,TRUE
002198.SZ,6.13,6.13,TRUE
002199.SZ,8.41,8.41,TRUE
002200.SZ,5.87,5.87,TRUE
002201.SZ,13.97,13.97,TRUE
002202.SZ,10.44,10.44,TRUE
002203.SZ,8.35,8.35,TRUE
002204.SZ,3.99,3.99,TRUE
002205.SZ,9.12,9.12,TRUE
002206.SZ,3.82,3.82,TRUE
002207.SZ,7.06,7.06,TRUE
002208.SZ,12.09,12.09,TRUE
002209.SZ,7.1,7.1,TRUE
